Task 4 validation-only: teacher=resnet34_cifar10_fp32_best.pth SHA256=ed19ff5fa087…

=== task4_tlambda_stage1_t4_l0p1_retry1 seed 42 | T=4, lambda=0.1 | 6 epochs ===

T4 S42 1/6:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 1/6:   0%|          | 1/352 [00:08<50:13,  8.58s/it]
T4 S42 2/6:  26%|██▋       | 93/352 [00:03<00:08, 29.40it/s]
T4 S42 2/6:  27%|██▋       | 96/352 [00:03<00:08, 29.51it/s]
T4 S42 2/6:  28%|██▊       | 100/352 [00:03<00:08, 29.65it/s]
T4 S42 2/6:  30%|██▉       | 104/352 [00:03<00:08, 29.78it/s]
T4 S42 2/6:  30%|███       | 107/352 [00:03<00:08, 28.91it/s]
T4 S42 2/6:  31%|███▏      | 110/352 [00:03<00:08, 29.12it/s]
T4 S42 2/6:  32%|███▏      | 113/352 [00:03<00:08, 29.09it/s]
T4 S42 2/6:  33%|███▎      | 116/352 [00:03<00:08, 29.19it/s]
T4 S42 2/6:  34%|███▍      | 120/352 [00:04<00:07, 29.49it/s]
T4 S42 2/6:  35%|███▍      | 123/352 [00:04<00:07, 29.62it/s]
T4 S42 2/6:  36%|███▌      | 126/352 [00:04<00:07, 29.62it/s]
T4 S42 2/6:  37%|███▋      | 130/352 [00:04<00:07, 29.77it/s]
T4 S42 2/6:  38%|███▊      | 133/352 [00:04<00:07, 29.81it/s]
T4 S42 2/6:  39%|███▊      | 136/352 [00:04<00:07, 29.84it/s]
T4 S42 2/6:  39%|███▉      | 139/352 [00:04<00:07, 29.77it/s]
T4 S42 2/6:  40%|████      | 142/352 [00:04<00:07, 29.79it/s]
T4 S42 2/6:  41%|████      | 145/352 [00:04<00:06, 29.84it/s]
T4 S42 2/6:  42%|████▏     | 148/352 [00:05<00:07, 28.34it/s]
T4 S42 2/6:  43%|████▎     | 152/352 [00:05<00:06, 28.95it/s]
T4 S42 2/6:  44%|████▍     | 155/352 [00:05<00:06, 29.20it/s]
T4 S42 2/6:  45%|████▍     | 158/352 [00:05<00:06, 29.40it/s]
T4 S42 2/6:  46%|████▌     | 162/352 [00:05<00:06, 29.64it/s]
T4 S42 2/6:  47%|████▋     | 166/352 [00:05<00:06, 29.81it/s]
T4 S42 2/6:  48%|████▊     | 169/352 [00:05<00:06, 29.81it/s]
T4 S42 2/6:  49%|████▉     | 173/352 [00:05<00:05, 29.87it/s]
T4 S42 2/6:  50%|█████     | 177/352 [00:06<00:05, 29.95it/s]
T4 S42 2/6:  51%|█████▏    | 181/352 [00:06<00:05, 30.01it/s]
T4 S42 2/6:  52%|█████▏    | 184/352 [00:06<00:05, 29.95it/s]
T4 S42 2/6:  53%|█████▎    | 188/352 [00:06<00:05, 29.97it/s]
T4 S42 2/6:  55%|█████▍    | 192/352 [00:06<00:05, 30.00it/s]
T4 S42 2/6:  56%|█████▌    | 196/352 [00:06<00:05, 30.02it/s]
T4 S42 2/6:  57%|█████▋    | 200/352 [00:06<00:05, 29.74it/s]
T4 S42 2/6:  58%|█████▊    | 204/352 [00:06<00:04, 29.83it/s]
T4 S42 2/6:  59%|█████▉    | 208/352 [00:07<00:04, 29.91it/s]
T4 S42 2/6:  60%|██████    | 212/352 [00:07<00:04, 29.95it/s]
T4 S42 2/6:  61%|██████    | 215/352 [00:07<00:04, 29.90it/s]
T4 S42 2/6:  62%|██████▏   | 219/352 [00:07<00:04, 29.94it/s]
T4 S42 2/6:  63%|██████▎   | 222/352 [00:07<00:04, 29.92it/s]
T4 S42 2/6:  64%|██████▍   | 225/352 [00:07<00:04, 28.38it/s]
T4 S42 2/6:  65%|██████▍   | 228/352 [00:07<00:04, 28.77it/s]
T4 S42 2/6:  66%|██████▌   | 232/352 [00:07<00:04, 29.21it/s]
T4 S42 2/6:  67%|██████▋   | 235/352 [00:08<00:03, 29.42it/s]
T4 S42 2/6:  68%|██████▊   | 239/352 [00:08<00:03, 29.62it/s]
T4 S42 2/6:  69%|██████▉   | 243/352 [00:08<00:03, 29.70it/s]
T4 S42 2/6:  70%|███████   | 247/352 [00:08<00:03, 29.81it/s]
T4 S42 2/6:  71%|███████   | 250/352 [00:08<00:03, 29.85it/s]
T4 S42 2/6:  72%|███████▏  | 253/352 [00:08<00:03, 29.85it/s]
T4 S42 2/6:  73%|███████▎  | 257/352 [00:08<00:03, 29.93it/s]
T4 S42 2/6:  74%|███████▍  | 260/352 [00:08<00:03, 29.89it/s]
T4 S42 2/6:  75%|███████▌  | 264/352 [00:08<00:02, 29.92it/s]
T4 S42 2/6:  76%|███████▌  | 268/352 [00:09<00:02, 29.97it/s]
T4 S42 2/6:  77%|███████▋  | 272/352 [00:09<00:02, 29.99it/s]
T4 S42 2/6:  78%|███████▊  | 275/352 [00:09<00:02, 29.93it/s]
T4 S42 2/6:  79%|███████▉  | 279/352 [00:09<00:02, 29.96it/s]
T4 S42 2/6:  80%|████████  | 283/352 [00:09<00:02, 29.97it/s]
T4 S42 2/6:  81%|████████▏ | 286/352 [00:09<00:02, 29.95it/s]
T4 S42 2/6:  82%|████████▏ | 289/352 [00:09<00:02, 29.92it/s]
T4 S42 2/6:  83%|████████▎ | 293/352 [00:09<00:01, 29.97it/s]
T4 S42 2/6:  84%|████████▍ | 297/352 [00:10<00:01, 29.99it/s]
T4 S42 2/6:  86%|████████▌ | 301/352 [00:10<00:01, 30.01it/s]
T4 S42 2/6:  87%|████████▋ | 305/352 [00:10<00:01, 29.98it/s]
T4 S42 2/6:  88%|████████▊ | 309/352 [00:10<00:01, 30.00it/s]
T4 S42 2/6:  89%|████████▊ | 312/352 [00:10<00:01, 30.00it/s]
T4 S42 2/6:  90%|████████▉ | 316/352 [00:10<00:01, 29.99it/s]
T4 S42 2/6:  91%|█████████ | 319/352 [00:10<00:01, 29.93it/s]
T4 S42 2/6:  92%|█████████▏| 323/352 [00:10<00:00, 29.98it/s]
T4 S42 2/6:  93%|█████████▎| 327/352 [00:11<00:00, 29.99it/s]
T4 S42 2/6:  94%|█████████▍| 331/352 [00:11<00:00, 30.01it/s]
T4 S42 2/6:  95%|█████████▌| 335/352 [00:11<00:00, 29.98it/s]
T4 S42 2/6:  96%|█████████▌| 338/352 [00:11<00:00, 29.98it/s]
T4 S42 2/6:  97%|█████████▋| 342/352 [00:11<00:00, 30.01it/s]
T4 S42 2/6:  98%|█████████▊| 346/352 [00:11<00:00, 29.98it/s]
T4 S42 2/6:  99%|█████████▉| 349/352 [00:11<00:00, 29.92it/s]
                                                             
S42 E  2/6 total=0.5223 CE=0.5699 KD=0.0939 val=90.88% lr=0.040000 <-- best

T4 S42 3/6:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 3/6:   0%|          | 1/352 [00:00<01:25,  4.09it/s]
T4 S42 3/6:   1%|          | 4/352 [00:00<00:27, 12.63it/s]
T4 S42 3/6:   2%|▏         | 7/352 [00:00<00:20, 17.03it/s]
T4 S42 3/6:   3%|▎         | 10/352 [00:00<00:16, 20.79it/s]
T4 S42 3/6:   4%|▍         | 14/352 [00:00<00:13, 24.17it/s]
T4 S42 3/6:   5%|▌         | 18/352 [00:00<00:12, 26.17it/s]
T4 S42 3/6:   6%|▌         | 21/352 [00:00<00:12, 27.13it/s]
T4 S42 3/6:   7%|▋         | 25/352 [00:01<00:11, 28.11it/s]
T4 S42 3/6:   8%|▊         | 29/352 [00:01<00:11, 28.72it/s]
T4 S42 3/6:   9%|▉         | 32/352 [00:01<00:11, 29.05it/s]
T4 S42 3/6:  10%|▉         | 35/352 [00:01<00:10, 29.29it/s]
T4 S42 3/6:  11%|█         | 38/352 [00:01<00:10, 29.32it/s]
T4 S42 3/6:  12%|█▏        | 41/352 [00:01<00:11, 27.20it/s]
T4 S42 3/6:  12%|█▎        | 44/352 [00:01<00:11, 27.32it/s]
T4 S42 3/6:  14%|█▎        | 48/352 [00:01<00:10, 28.24it/s]
T4 S42 3/6:  14%|█▍        | 51/352 [00:02<00:10, 28.66it/s]
T4 S42 3/6:  15%|█▌        | 54/352 [00:02<00:10, 28.89it/s]
T4 S42 3/6:  16%|█▌        | 57/352 [00:02<00:10, 29.20it/s]
T4 S42 3/6:  17%|█▋        | 60/352 [00:02<00:09, 29.42it/s]
T4 S42 3/6:  18%|█▊        | 63/352 [00:02<00:09, 29.57it/s]
T4 S42 3/6:  19%|█▉        | 66/352 [00:02<00:09, 29.61it/s]
T4 S42 3/6:  20%|█▉        | 70/352 [00:02<00:09, 29.75it/s]
T4 S42 3/6:  21%|██        | 73/352 [00:02<00:09, 29.82it/s]
T4 S42 3/6:  22%|██▏       | 77/352 [00:02<00:09, 29.89it/s]
T4 S42 3/6:  23%|██▎       | 80/352 [00:02<00:09, 29.80it/s]
T4 S42 3/6:  24%|██▍       | 84/352 [00:03<00:08, 29.88it/s]
T4 S42 3/6:  25%|██▍       | 87/352 [00:03<00:08, 29.89it/s]
T4 S42 3/6:  26%|██▌       | 90/352 [00:03<00:08, 29.91it/s]
T4 S42 3/6:  26%|██▋       | 93/352 [00:03<00:08, 29.90it/s]
T4 S42 3/6:  27%|██▋       | 96/352 [00:03<00:08, 29.88it/s]
T4 S42 3/6:  28%|██▊       | 100/352 [00:03<00:08, 29.94it/s]
T4 S42 3/6:  30%|██▉       | 104/352 [00:03<00:08, 29.97it/s]
T4 S42 3/6:  31%|███       | 108/352 [00:03<00:08, 30.00it/s]
T4 S42 3/6:  32%|███▏      | 111/352 [00:04<00:08, 29.95it/s]
T4 S42 3/6:  33%|███▎      | 115/352 [00:04<00:07, 29.99it/s]
T4 S42 3/6:  34%|███▍      | 119/352 [00:04<00:07, 30.01it/s]
T4 S42 3/6:  35%|███▍      | 122/352 [00:04<00:07, 29.88it/s]
T4 S42 3/6:  36%|███▌      | 125/352 [00:04<00:07, 29.79it/s]
T4 S42 3/6:  37%|███▋      | 129/352 [00:04<00:07, 29.87it/s]
T4 S42 3/6:  38%|███▊      | 133/352 [00:04<00:07, 29.88it/s]
T4 S42 3/6:  39%|███▉      | 137/352 [00:04<00:07, 29.94it/s]
T4 S42 3/6:  40%|███▉      | 140/352 [00:04<00:07, 29.87it/s]
T4 S42 3/6:  41%|████      | 144/352 [00:05<00:06, 29.93it/s]
T4 S42 3/6:  42%|████▏     | 148/352 [00:05<00:06, 29.97it/s]
T4 S42 3/6:  43%|████▎     | 151/352 [00:05<00:06, 29.97it/s]
T4 S42 3/6:  44%|████▍     | 154/352 [00:05<00:06, 29.88it/s]
T4 S42 3/6:  45%|████▍     | 157/352 [00:05<00:06, 29.83it/s]
T4 S42 3/6:  46%|████▌     | 161/352 [00:05<00:06, 29.90it/s]
T4 S42 3/6:  47%|████▋     | 165/352 [00:05<00:06, 29.94it/s]
T4 S42 3/6:  48%|████▊     | 169/352 [00:05<00:06, 29.90it/s]
T4 S42 3/6:  49%|████▉     | 173/352 [00:06<00:05, 29.94it/s]
T4 S42 3/6:  50%|█████     | 177/352 [00:06<00:05, 29.98it/s]
T4 S42 3/6:  51%|█████▏    | 181/352 [00:06<00:05, 30.00it/s]
T4 S42 3/6:  52%|█████▏    | 184/352 [00:06<00:05, 29.92it/s]
T4 S42 3/6:  53%|█████▎    | 187/352 [00:06<00:05, 29.92it/s]
T4 S42 3/6:  54%|█████▍    | 190/352 [00:06<00:05, 29.93it/s]
T4 S42 3/6:  55%|█████▌    | 194/352 [00:06<00:05, 29.98it/s]
T4 S42 3/6:  56%|█████▋    | 198/352 [00:06<00:05, 29.98it/s]
T4 S42 3/6:  57%|█████▋    | 201/352 [00:07<00:05, 29.91it/s]
T4 S42 3/6:  58%|█████▊    | 205/352 [00:07<00:04, 29.95it/s]
T4 S42 3/6:  59%|█████▉    | 209/352 [00:07<00:04, 29.98it/s]
T4 S42 3/6:  61%|██████    | 213/352 [00:07<00:04, 30.00it/s]
T4 S42 3/6:  61%|██████▏   | 216/352 [00:07<00:04, 29.89it/s]
T4 S42 3/6:  62%|██████▏   | 219/352 [00:07<00:04, 29.86it/s]
T4 S42 3/6:  63%|██████▎   | 222/352 [00:07<00:04, 29.89it/s]
T4 S42 3/6:  64%|██████▍   | 225/352 [00:07<00:04, 29.90it/s]
T4 S42 3/6:  65%|██████▌   | 229/352 [00:07<00:04, 29.89it/s]
T4 S42 3/6:  66%|██████▌   | 233/352 [00:08<00:03, 29.95it/s]
T4 S42 3/6:  67%|██████▋   | 237/352 [00:08<00:03, 29.99it/s]
T4 S42 3/6:  68%|██████▊   | 241/352 [00:08<00:03, 30.03it/s]
T4 S42 3/6:  70%|██████▉   | 245/352 [00:08<00:03, 29.96it/s]
T4 S42 3/6:  70%|███████   | 248/352 [00:08<00:03, 29.96it/s]
T4 S42 3/6:  71%|███████▏  | 251/352 [00:08<00:03, 29.95it/s]
T4 S42 3/6:  72%|███████▏  | 255/352 [00:08<00:03, 30.00it/s]
