Task 4 validation-only: teacher=resnet34_cifar10_fp32_best.pth SHA256=ed19ff5fa087…

=== task4_tlambda_integrity-control_t4_l0 seed 42 | T=4, lambda=0 | 30 epochs ===

T4 S42 1/30:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 1/30:   0%|          | 1/352 [00:01<08:24,  1.44s/it]
T4 S42 2/30:  70%|███████   | 247/352 [00:10<00:04, 23.64it/s]
T4 S42 2/30:  71%|███████   | 250/352 [00:10<00:04, 23.96it/s]
T4 S42 2/30:  72%|███████▏  | 253/352 [00:10<00:04, 23.28it/s]
T4 S42 2/30:  73%|███████▎  | 256/352 [00:10<00:04, 22.89it/s]
T4 S42 2/30:  74%|███████▎  | 259/352 [00:10<00:04, 22.27it/s]
T4 S42 2/30:  74%|███████▍  | 262/352 [00:10<00:04, 22.25it/s]
T4 S42 2/30:  75%|███████▌  | 265/352 [00:10<00:03, 22.05it/s]
T4 S42 2/30:  76%|███████▌  | 268/352 [00:11<00:03, 21.38it/s]
T4 S42 2/30:  77%|███████▋  | 271/352 [00:11<00:03, 21.54it/s]
T4 S42 2/30:  78%|███████▊  | 274/352 [00:11<00:03, 21.35it/s]
T4 S42 2/30:  79%|███████▊  | 277/352 [00:11<00:03, 21.68it/s]
T4 S42 2/30:  80%|███████▉  | 280/352 [00:11<00:03, 21.83it/s]
T4 S42 2/30:  80%|████████  | 283/352 [00:11<00:03, 21.87it/s]
T4 S42 2/30:  81%|████████▏ | 286/352 [00:11<00:03, 21.90it/s]
T4 S42 2/30:  82%|████████▏ | 289/352 [00:11<00:02, 21.54it/s]
T4 S42 2/30:  83%|████████▎ | 292/352 [00:12<00:02, 21.60it/s]
T4 S42 2/30:  84%|████████▍ | 295/352 [00:12<00:02, 21.25it/s]
T4 S42 2/30:  85%|████████▍ | 298/352 [00:12<00:02, 21.51it/s]
T4 S42 2/30:  86%|████████▌ | 301/352 [00:12<00:02, 20.82it/s]
T4 S42 2/30:  86%|████████▋ | 304/352 [00:12<00:02, 21.27it/s]
T4 S42 2/30:  87%|████████▋ | 307/352 [00:12<00:02, 21.38it/s]
T4 S42 2/30:  88%|████████▊ | 310/352 [00:12<00:01, 21.38it/s]
T4 S42 2/30:  89%|████████▉ | 313/352 [00:13<00:01, 21.61it/s]
T4 S42 2/30:  90%|████████▉ | 316/352 [00:13<00:01, 21.79it/s]
T4 S42 2/30:  91%|█████████ | 319/352 [00:13<00:01, 23.40it/s]
T4 S42 2/30:  91%|█████████▏| 322/352 [00:13<00:01, 24.68it/s]
T4 S42 2/30:  92%|█████████▏| 325/352 [00:13<00:01, 25.67it/s]
T4 S42 2/30:  93%|█████████▎| 328/352 [00:13<00:00, 26.40it/s]
T4 S42 2/30:  94%|█████████▍| 331/352 [00:13<00:00, 26.93it/s]
T4 S42 2/30:  95%|█████████▍| 334/352 [00:13<00:00, 27.31it/s]
T4 S42 2/30:  96%|█████████▌| 337/352 [00:14<00:00, 27.62it/s]
T4 S42 2/30:  97%|█████████▋| 340/352 [00:14<00:00, 27.79it/s]
T4 S42 2/30:  97%|█████████▋| 343/352 [00:14<00:00, 27.89it/s]
T4 S42 2/30:  98%|█████████▊| 346/352 [00:14<00:00, 27.96it/s]
T4 S42 2/30:  99%|█████████▉| 349/352 [00:14<00:00, 28.08it/s]
                                                              
S42 E  2/30 total=0.5689 CE=0.5689 KD=0.0975 val=90.74% lr=0.040000

T4 S42 3/30:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 3/30:   0%|          | 1/352 [00:00<01:05,  5.38it/s]
T4 S42 3/30:   1%|          | 4/352 [00:00<00:24, 14.21it/s]
T4 S42 3/30:   2%|▏         | 7/352 [00:00<00:20, 16.56it/s]
T4 S42 3/30:   3%|▎         | 10/352 [00:00<00:18, 18.69it/s]
